Podcast Name,Episode Title,Language,Published Date,Host(s),Guest(s),Main Topic(s),Rating (1-6),Rating Notes,Tags,Platform / Link
Topplederpodcast (MeyerHaugen),"Topplederpodcast med Jørgen Watne Frydnes, leder av Nobelkomiteen",Norwegian,2026-06-01,MeyerHaugens Topplederpodcast,Jørgen Watne Frydnes,"ledelse, organisasjonskultur, beslutningstaking",5,Innsiktsfull samtale om ledelse i en unik kontekst med høyt faglig nivå — relevant for ledere.,"personalledelse,kultur",https://meyerhaugen.no/topplederpodcast/
Lederpodden,🛠️ Nevrotikerens guide til bedre prosjektledelse – med Martin Revheim,Norwegian,2026-05-29,Tor Åge Skagestad Eikerapen,Martin Revheim,"prosjektledelse, teamdynamikk, samarbeid, effektivitet",5,Praktiske innsikter om prosjektledelse med fokus på samarbeid og teamdynamikk — solid innhold som er nyttig for ledere.,teamledelse,https://www.execu.no/lederpodden/315-nevrotikerens-guide-til-bedre-prosjektledelse
Lederliv,"Monica Mæland, Bergen Næringsråd",Norwegian,2026-05-29,Ole Christian Apeland,Monica Mæland,"ledelse, næringsliv, samarbeid, utvikling",5,Innsiktsfull samtale om ledelse i næringslivet med fokus på samarbeid og utvikling — nyttig for både teamledere og HR-profesjonelle,"teamledelse,kultur",https://shows.acast.com/lederliv/episodes/monica-maeland-bergen-naeringsrad
HR-podden,243: Slik markerer du PRIDE på jobben med Torben Dyhr-Nielsen,Norwegian,2026-05-27,Anne Lise Heide,Torben Dyhr-Nielsen,"PRIDE-markering, inkludering, mangfold på arbeidsplassen",4,Inkludering og PRIDE-markering på arbeidsplassen — praktisk og kulturelt relevant for HR og ledere,"personalledelse,kultur",https://www.buzzsprout.com/1929646/episodes/19156646-243-slik-markerer-du-pride-pa-jobben-med-torben-dyhr-nielsen.mp3
Topplederpodcast (MeyerHaugen),Jakten på Norges største ledertalenter er i gang,Norwegian,2026-05-26,MeyerHaugens Topplederpodcast,-,"Lederutvikling, talentjakt, rekruttering",5,Solid innhold om ledertalenter — nyttige perspektiver for rekruttering og utvikling,"personalledelse,rekruttering",https://meyerhaugen.no/topplederpodcast/
Lederpodden,🧠 Dette må ledere vite om hjernen – med Marte Roa Syvertsen,Norwegian,2026-05-22,Tor Åge Skagestad Eikerapen,Marte Roa Syvertsen,"hjerneforskning, ledelse, beslutningstaking",4,Relevant stoff om hjernens påvirkning på ledelse; kan oppleves som noe overflatenivå.,"personalledelse,kultur,motivasjon",https://www.execu.no/lederpodden/314-dette-ma-ledere-vite-om-hjernen
Lederliv,"Silje Garberg Ree, Bergans",Norwegian,2026-05-22,Ole Christian Apeland,Silje Garberg Ree,"teamledelse, motivasjon, kultur",5,Silje Garberg Ree deler innsikt om hvordan kultur og motivasjon driver teamets prestasjoner — solid innhold med praktisk verdi.,"teamledelse,motivasjon,kultur",https://shows.acast.com/lederliv/episodes/silje-garberg-ree-bergans
HR-podden,242: Fem vanlige fallgruver i lederutvikling og hva skal til for at lederutvikling virker,Norwegian,2026-05-20,Anne Lise Heide,-,"lederutvikling, fallgruver, effektive strategier",5,Det tas opp sentrale utfordringer i lederutvikling med praktiske løsningsforslag — nyttig for ledere i utviklingsarbeid.,"personalledelse,kultur,motivasjon",https://www.buzzsprout.com/1929646/episodes/19196600-242-fem-vanlige-fallgruver-i-lederutvikling-og-hva-skal-egentlig-til-for-at-lederutvikling-virker.mp3
Lederskap (NHH),"Data-drevne beslutninger, med Dan Richard Knudsen",Norwegian,2026-05-18,"Therese Egeland, Joel W. Berge",Dan Richard Knudsen,"data-drevne beslutninger, ledelsesstrategi, beslutningsprosess",5,Innsiktsfull samtale om bruk av data i beslutningstaking — sterk relevans for ledere som ønsker å optimalisere prosesser,"personalledelse,feedback,kultur",https://shows.acast.com/lederskap/episodes/data-drevne-beslutninger-med-dan-richard-knudsen
Lederliv,"Lederliv 400 spesial – med Erna Solberg, Anne-Kari Bratten og Ole Robert Reitan",Norwegian,2026-05-15,Ole Christian Apeland,"Erna Solberg, Anne-Kari Bratten, Ole Robert Reitan","ledelse, politikk, organisasjonsutvikling",5,Interessante perspektiver fra erfarne ledere — solid innsikt i ledelse og organisasjonsutvikling,"teamledelse,kultur",https://shows.acast.com/lederliv/episodes/lederliv-400-spesial-med-erna-solberg-anne-kari-bratten-og-o
Lederpodden,🤝 Slik starter du teamet ditt smart – med Therese Egeland,Norwegian,2026-05-15,Tor Åge Skagestad Eikerapen,Therese Egeland,"teamarbeid, samarbeid, psykologisk trygghet",5,Praktiske tips om å bygge team og skape trygghet — nyttig for ledere som vil forbedre teamdynamikk,"teamledelse,kultur",https://www.execu.no/lederpodden/313-psykologisk-trygghet-i-praksis-slik-skaper-du-bedre-team
HR-podden,241: Endringskompetanse som gjør en forskjell med Christian Valentiner,Norwegian,2026-05-13,Anne Lise Heide,Christian Valentiner,"endringskompetanse, organisasjonsutvikling, ledelsesstrategi",5,Innsikt i hvordan endringskompetanse påvirker organisasjoner — nyttig for ledere som arbeider med endringer,"personalledelse,kultur,endringsledelse",https://www.buzzsprout.com/1929646/episodes/19134156-241-endringskompetanse-som-gjor-en-forskjell-med-christian-valentiner.mp3
Topplederpodcast (MeyerHaugen),"Topplederpodcast med Ann-Beth Freuchen, CEO i TINE",Norwegian,2026-05-11,MeyerHaugens Topplederpodcast,Ann-Beth Freuchen,"ledelse, strategi, organisasjonsutvikling",5,Dyp innsikt om ledelse og strategisk utvikling i organisasjonen — høy praktisk verdi for ledere,"teamledelse,personalledelse",https://meyerhaugen.no/topplederpodcast/
Lederliv,"Robin Dale Oen, Dale Oen Experience",Norwegian,2026-05-08,Ole Christian Apeland,Robin Dale Oen,"prestasjon, motivasjon, ledelse, teamwork",5,Inspirerende samtale om prestasjon og motiverende lederskap — nyttig for teamledere og ledere generelt,"teamledelse,motivasjon",https://shows.acast.com/lederliv/episodes/robin-dale-oendale-oen-experience
HR-podden,"240: Om biases, ubevisste fordommer og beslutningsfeil med Mads Nordmo Arnestad",Norwegian,2026-05-06,Anne Lise Heide,Mads Nordmo Arnestad,"bias, beslutningsfeil, fordommer",5,Innsikt i ubevisste fordommer og deres innvirkning på beslutninger — nyttig for ledere og HR-profesjonelle.,"personalledelse,kultur",https://www.buzzsprout.com/1929646/episodes/19120672-240-om-biases-ubevisste-fordommer-og-beslutningsfeil-med-mads-nordmo-arnestad.mp3
Lederliv,"Morten Borgersen, Anton Sport",Norwegian,2026-05-01,Ole Christian Apeland,Morten Borgersen,"Ledelse i varehandel, medarbeiderengasjement, butikkledelse",5,Anton Sport-sjef om ledelse i handelsbransjen — praksisnær og engasjerende,"teamledelse, personalledelse",https://shows.acast.com/lederliv/episodes/morten-borgersen-anton-sport
Lederpodden,🎯 Derfor virker ikke målene dine – med Bård Kuvaas,Norwegian,2026-04-30,Tor Åge Skagestad Eikerapen,Bård Kuvaas,"Målstyring, prestasjonsmotivasjon, indre motivasjon",5,Bård Kuvaas med forskningsbasert kritikk av tradisjonell målstyring — høy faglig verdi,"teamledelse,motivasjon",https://www.execu.no/lederpodden/311-derfor-virker-ikke-malene-dine
HR-podden,"239: Hva du må vite om AI akkurat nå, med Sverre Haugen",Norwegian,2026-04-29,Anne Lise Heide,Sverre Haugen,"KI i arbeidslivet, HR og teknologi, digital kompetanse",4,Oppdatert KI-innsikt fra HR-perspektiv — relevant men teknologi er hovedmotiv fremfor ledelse,personalledelse,https://www.buzzsprout.com/1929646/episodes/19083395-239-hva-du-ma-vite-om-ai-akkurat-na-med-sverre-haugen.mp3
Lederliv,"Dana Manouchehri, Stiftelsen Organdonasjon",Norwegian,2026-04-24,Ole Christian Apeland,Dana Manouchehri,"Ledelse i ideell sektor, formidling, verdidrevet organisasjon",4,Stiftelsesleder om ledelse i ideell kontekst — interessant sektorperspektiv men ledelse perifert berørt,personalledelse,https://shows.acast.com/lederliv/episodes/dana-manouchehri-stiftelsen-organdonasjon
Lederpodden,🌡️ Sykefravær: Det ledere gjør feil i den første samtalen – med konsernoverlege Erna Harboe,Norwegian,2026-04-23,Tor Åge Skagestad Eikerapen,Erna Harboe,"Sykefravær, oppfølgingssamtale, lederatferd",5,Konsernoverlege med råd om den første sykefraværssamtalen — direkte relevant for personalledere,"personalledelse,feedback",https://www.execu.no/lederpodden/310-sykefravaer-det-ledere-gjor-feil-i-den-forste-samtalen
Lederskap (NHH),"Flink med folk, med Trond Mjåland og Mathias Reierth",Norwegian,2026-04-22,"Therese Egeland, Joel W. Berge","Trond Mjåland, Mathias Reierth","Mellommenneskelige ferdigheter, relasjoner på jobb",5,NHH-miljøet om mellommenneskelige ferdigheter på jobb — praktisk og relasjonsorientert ledelsesinnhold,"personalledelse,teamledelse",https://shows.acast.com/lederskap/episodes/flink-med-folk-med-trond-mjaland-og-mathias-reierth
HR-podden,238: Når følelsene styrer - om emosjonell kompetanse på jobben med Aksel Inge Sinding,Norwegian,2026-04-22,Anne Lise Heide,Aksel Inge Sinding,"Emosjonell kompetanse, følelser på jobb, selvregulering",5,Relevant for ledere og HR — hvordan emosjonell kompetanse påvirker atferd og relasjoner i arbeidslivet.,"personalledelse,motivasjon",https://www.buzzsprout.com/1929646/episodes/19047122-238-nar-folelsene-styrer-om-emosjonell-kompetanse-pa-jobben-med-aksel-inge-sinding.mp3
Lederutviklingspodden,"""Kort innpå"" - 5 steg til psykologisk trygghet i organisasjoner",Norwegian,2026-04-22,Vegard Olsen,-,"psykologisk trygghet, teamdynamikk, organisasjonskultur",5,Solid innhold om psykologisk trygghet med praktiske steg for ledere — høyt informasjonsinnhold.,"teamledelse,kultur",https://rss.com/podcasts/lederutviklingspodden/2758545
Topplederpodcast (MeyerHaugen),"Topplederpodcast med Christoffer Sundby, CEO i Spenn Group",Norwegian,2026-04-20,MeyerHaugens Topplederpodcast,Christoffer Sundby,"ledelse, organisasjonsutvikling, strategisk tenkning",5,Christoffer Sundby deler strategisk innsikt fra toppledelse — svært nyttig for ledere og beslutningstakere,"teamledelse,personalledelse",https://meyerhaugen.no/topplederpodcast/
Lederpodden,💡 Slik får du mer kreative løsninger - med idékunstner Håkon Forfod Sønneland,Norwegian,2026-04-17,Tor Åge Skagestad Eikerapen,Håkon Forfod Sønneland,"Kreativitet, idéutvikling, problemløsning",4,Kreativitet som trenbar ferdighet for hverdagslige arbeidsproblemer — praktisk men kreativitet er sekundært lederemne,teamledelse,https://www.execu.no/lederpodden/309
Lederliv,"Hans-Erik Skjæggerud, Yrkesorganisasjonenes Sentralforbund (YS)",Norwegian,2026-04-17,Ole Christian Apeland,Hans-Erik Skjæggerud,"Fagorganisering, lønnsoppgjør, KI og arbeidsliv",4,YS-leder om årets hovedoppgjør og KI-effekter for arbeidstakere — interessant men arbeidsliv er hovedmotiv,personalledelse,https://shows.acast.com/lederliv/episodes/hans-erik-skjaeggerud-yrkesorganisasjonenes-sentralforbund-y
HR-podden,237: Hvordan lykkes med strategisk HR med Rachel Wilson Rugelsjøen,Norwegian,2026-04-15,Anne Lise Heide,Rachel Wilson Rugelsjøen,"Strategisk HR, virksomhetspartner, lederutvikling",5,Strategisk HR som å levere virksomhetens strategi gjennom mennesker — ekspert med klar og direkte relevant these,personalledelse,https://www.buzzsprout.com/1929646/episodes/19006463-237-hvordan-lykkes-med-strategisk-hr-med-rachel-wilson-rugelsjoen.mp3
Lederpodden,🧠 Du er dømt til å bli misforstått - her er hvorfor,Norwegian,2026-04-10,Tor Åge Skagestad Eikerapen,—,"Kommunikasjon, kognitiv psykologi, misforståelser",5,Kognitiv forklaring på kommunikasjonssvikt i ledelse — solid solo-episode,feedback,https://www.execu.no/lederpodden/308
Lederliv,"Pål Lønseth, Økokrim",Norwegian,2026-04-10,Ole Christian Apeland,Pål Lønseth,"Ledelse, etterforskning, offentlig etat",4,"Økokrim-sjef — etterforskning og jus dominerer, ledelsesperspektiv perifert",personalledelse,https://shows.acast.com/lederliv/episodes/pal-lnseth-kokrim
Topplederpodcast (MeyerHaugen),"Topplederpodcast med Espen Swartling, CEO i Allianz Trade Norge",Norwegian,2026-04-10,"Siv Jensen, Petter Meyer",Espen Swartling,"Ledelse, handel, risiko, internasjonal business",4,Allianz Trade-CEO om handel og risiko i usikker verden — ledelse perifert berørt,personalledelse,https://meyerhaugen.no/topplederpodcast/
HR-podden,236: Motiverende intervju: Kunsten å skape endring gjennom samtale med Liv Brauer,Norwegian,2026-04-08,Anne Lise Heide,Liv Brauer,"Motiverende intervju, samtalemetode, endringsledelse",5,Motiverende intervju som lederverktøy — praktisk og forskningsforankret samtalemetodikk,"coaching,personalledelse,endringsledelse",https://www.buzzsprout.com/1929646/episodes/18975520-236-motiverende-intervju-kunsten-a-skape-endring-gjennom-samtale-med-liv-brauer.mp3
Lederliv,"Trine Skei Grande, Forleggerforeningen",Norwegian,2026-04-03,Ole Christian Apeland,Trine Skei Grande,"Ledelse, organisasjon, politikk, kommunikasjon",4,Forleggerforening-direktør og eks-statsråd om ledelse i org. vs. bedrift — noe dybde,personalledelse,https://shows.acast.com/lederliv/episodes/trine-skei-grande-den-norske-forleggerforening
Lederpodden,🔁 Fra gründer til CEO – slik får du lederskiftet til å fungere. Med Nadir Nalbant og Petter Kildal Forseth fra Homely,Norwegian,2026-04-01,Tor Åge Skagestad Eikerapen,"Nadir Nalbant, Petter Kildal Forseth","Lederskifte, rolleovergang, organisasjonsutvikling",5,Gründer-til-CEO-overgangen med to reelle casepersoner — praksisnær og innsiktsfull,personalledelse,https://www.execu.no/lederpodden/307
HR-podden,235: Slik bygger du en sunn tilbakemeldingskultur med Anne Lise Heide,Norwegian,2026-04-01,Anne Lise Heide,Anne Lise Heide,"Feedbackkultur, tilbakemeldinger, HR-praksis",6,Feedbackkultur i praksis — hvorfor det er vanskelig og hva som faktisk fungerer,"personalledelse,feedback",https://www.buzzsprout.com/1929646/episodes/18893707-235-slik-bygger-du-en-sunn-tilbakemeldingskultur-med-anne-lise-heide.mp3
Psykologkameratene,Hvordan koble av jobben- for store og små,Norwegian,2026-03-31,"Magnus Odeen, Sivert Straume",—,"Avkobling, work-life balance, restitusjon",4,Avkobling fra jobben for ledere og medarbeidere — relevant for bærekraftig arbeidsliv,personalledelse,https://psykologkameratene.podbean.com/e/nar-jobben-aldri-slar-av-hvordan-koble-fra-i-en-hjemmekontorverden/
Lederpodden,🎯 Rekruttering som faktisk fungerer – fra magefølelse til metode – med Elin Ørjasæter og Maria Molvær Nesseth,Norwegian,2026-03-27,Tor Åge Skagestad Eikerapen,"Elin Ørjasæter, Maria Molvær Nesseth","Rekruttering, seleksjon, ansettelsesprosess",5,To rekrutteringseksperter — solid forskningstilnærming fra magefølelse til metode,"personalledelse,rekruttering",https://www.execu.no/lederpodden/306
Lederskap (NHH),"Start Smart 2.0, med Anna Måsender og Veronica Heltne",Norwegian,2026-03-27,"Therese Egeland, Joel W. Berge","Anna Måsender, Veronica Heltne","Teamoppstart, Start Smart, Telenor, teamutvikling",6,Telenors implementering av NHH Start Smart — eksepsjonell kombinasjon av forskning og praksis,teamledelse,https://shows.acast.com/lederskap/episodes/start-smart-20-med-anna-masender-og-veronica-heltne
Lederliv,"Mudassar Mehmood, Mortensrud Fellesskap",Norwegian,2026-03-27,Ole Christian Apeland,Mudassar Mehmood,"Ledelse, inkludering, frivillighet, lokalsamfunn",5,Årets ledestjerne 2025 (DN) — sterk ledelses-case med inspirerende bakgrunn,personalledelse,https://shows.acast.com/lederliv/episodes/mudassar-mehmood-mortensrud-fellesskap
HR-podden,234: Prestasjonsledelse med Karina Andersen Aas og Cecilie Ystenes Myhre,Norwegian,2026-03-25,Anne Lise Heide,"Karina Andersen Aas, Cecilie Ystenes Myhre","Prestasjonsledelse, resultatorientering, medarbeiderutvikling",6,Prestasjonsledelse som muliggjøring — to eksperter med forskningstyngde og praksisnær metodikk,"personalledelse,motivasjon",https://www.buzzsprout.com/1929646/episodes/18855147-234-prestasjonsledelse-med-karina-andersen-aas-og-cecilie-ystenes-myhre.mp3
